"","gender","sp1","age","experience","grades","placement"
"1","M","HR",24,5,"A","Yes"
"2","F","HR",21,4,"D","No"
"3","F","Marketing",25,3,"C","Yes"
"4","M","Finance",22,5,"A","No"
"5","M","Marketing",25,1,"A","No"
"6","M","HR",28,4,"C","No"
"7","M","HR",25,3,"D","Yes"
"8","M","Marketing",25,3,"B","No"
"9","M","Finance",23,3,"D","No"
"10","M","HR",26,5,"D","No"
"11","M","HR",25,3,"D","No"
"12","M","Finance",22,5,"D","Yes"
"13","F","Finance",22,3,"A","No"
"14","F","Finance",25,2,"D","Yes"
"15","M","Finance",22,3,"B","Yes"
"16","F","HR",24,1,"D","Yes"
"17","F","HR",29,5,"A","Yes"
"18","F","HR",22,3,"B","Yes"
"19","M","Finance",28,3,"B","Yes"
"20","F","Finance",27,5,"B","Yes"
"21","F","HR",29,4,"A","No"
"22","F","Finance",23,3,"B","Yes"
"23","F","Finance",24,2,"D","Yes"
"24","M","HR",29,2,"C","No"
"25","M","HR",22,4,"D","No"
"26","F","HR",24,4,"A","Yes"
"27","F","HR",28,4,"D","Yes"
"28","F","HR",28,4,"B","Yes"
"29","F","Marketing",21,6,"B","No"
"30","M","HR",27,3,"D","Yes"
"31","M","Finance",22,5,"D","Yes"
"32","M","Finance",28,3,"A","Yes"
"33","F","Marketing",22,2,"A","No"
"34","F","HR",26,2,"C","Yes"
"35","F","Marketing",29,4,"A","Yes"
"36","M","Finance",28,5,"C","No"
"37","M","HR",23,4,"D","Yes"
"38","F","Marketing",29,3,"B","No"
"39","F","HR",26,4,"B","Yes"
"40","M","HR",24,5,"A","Yes"
"41","F","HR",27,3,"C","Yes"
"42","M","Marketing",27,5,"C","No"
"43","F","Finance",25,5,"C","Yes"
"44","F","HR",25,4,"D","No"
"45","M","HR",23,3,"A","No"
"46","M","Marketing",23,3,"C","Yes"
"47","M","Marketing",25,3,"B","Yes"
"48","M","Marketing",26,2,"D","Yes"
"49","M","Finance",28,3,"D","Yes"
"50","M","HR",26,4,"B","No"
"51","F","Marketing",23,5,"A","No"
"52","M","Finance",21,4,"D","No"
"53","F","HR",24,4,"D","No"
"54","F","Marketing",28,4,"C","Yes"
"55","F","Marketing",25,5,"A","No"
"56","M","HR",24,4,"D","Yes"
"57","F","Marketing",26,3,"C","Yes"
"58","F","Finance",27,3,"C","Yes"
"59","M","Finance",28,3,"C","No"
"60","M","Finance",29,4,"C","Yes"
"61","M","Finance",25,1,"B","No"
"62","M","Finance",27,2,"B","Yes"
"63","F","Marketing",23,5,"D","No"
"64","M","HR",25,4,"C","Yes"
"65","F","Marketing",27,3,"D","Yes"
"66","F","HR",26,3,"D","Yes"
"67","M","Finance",27,4,"B","Yes"
"68","M","HR",27,4,"B","No"
"69","M","Marketing",29,4,"D","No"
"70","M","Marketing",21,4,"B","Yes"
"71","F","HR",22,4,"B","No"
"72","M","Marketing",29,4,"C","No"
"73","F","HR",27,2,"A","No"
"74","M","Marketing",22,4,"C","Yes"
"75","F","HR",22,3,"B","Yes"
"76","M","Finance",28,4,"B","Yes"
"77","M","HR",26,3,"A","Yes"
"78","M","Finance",27,4,"C","Yes"
"79","F","Marketing",28,4,"D","Yes"
"80","F","Marketing",29,4,"B","No"
"81","M","Finance",24,5,"B","Yes"
"82","M","Marketing",24,4,"C","No"
"83","F","HR",25,3,"B","Yes"
"84","F","HR",21,2,"B","No"
"85","F","Finance",25,2,"B","No"
"86","M","Marketing",23,3,"C","Yes"
"87","F","HR",26,5,"D","Yes"
"88","M","Finance",29,1,"B","No"
"89","F","Finance",28,3,"D","No"
"90","M","Marketing",21,4,"A","Yes"
"91","M","Finance",23,2,"D","No"
"92","M","Finance",29,2,"C","No"
"93","M","Finance",25,3,"A","No"
"94","M","HR",28,4,"C","No"
"95","M","HR",22,4,"D","Yes"
"96","F","Marketing",23,5,"B","No"
"97","M","HR",23,3,"A","No"
"98","M","Finance",28,3,"B","No"
"99","F","HR",26,4,"A","No"
"100","M","HR",26,3,"A","No"
